Name of Organization,Condition(s),Tag,Health Region,City,Address,Postal Code,Contact email,Contact phone number,Contact website,Status,Services offered,Language restriction,Age restriction,Cost,Virtual/In-person,Notes,map,images,images links,,
Island Kids Cancer Assocation,Cancer,"cancer, malignancy, neoplasm, carcinoma, tumor, tumour, oncology, oncologic, malignant, neoplastic, sarcoma, adenocarcinoma, hematologic, carcinogenic, metastatic, myeloma, cancer care, care, support, cancer support",Vancouver island,Victoria,"Island Kids Cancer Association, PO Box 20 #106-4480, West Saanich Rd",V8Z 3E9,https://ikca.ca/,N/A,islandkidscanceroffice@gmail.com,Active,"Provides year-round practical and local support specifically for children and youth with cancer and their families on Vancouver Island and the Gulf Islands. Programs consist of peer support for families, mental health support, transportation, food delivery and financial support. ",N/A,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2644.0775906886242!2d-123.39094952321669!3d48.49340412632192!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548f723e6f0dd539%3A0xf3b9813c0465ad01!2sISLAND%20KIDS%20CANCER%20ASSOCIATION!5e0!3m2!1sen!2sca!4v1736287909120!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/kids.jpg,https://unsplash.com/photos/two-toddler-girl-and-boy-sitting-on-concrete-bench-near-outdoor-during-daytime-dq7tj8KOwyM,,
Juvenile Diabetes Research Foundation (JDRF) - British Columbia Chapter,Type 1 Diabetes ,"diabetes, sugar, glucose, autoimmune, insulin, glycem, pancreatic, pancreas, endocrine, type 1, T1DM, T1",All,,N/A,N/A,N/A,N/A,https://jdrf.ca/,Active,"Educational resources, peer support, virtual events",English/French,Youth and adults,Free,Both virtual/in-person,,,images/diabetes4.jpg,https://unsplash.com/photos/brown-and-white-plastic-tube-py-Il47-VAM,,
Kelty Mental Health Resource Centre,"Anxiety, Somatization, Substance Use, ADHD","ADHD, anxiety, somatization, substance, addiction, mood, stress, mental, neuro, brain, cognitive, attention, somatic, psycho, psychiatry, psychiatric, mind, somatoform, stress, drug, alcohol, narcotic, hyperactivity, hyperkinesis, inattentive, executive function, distract",VCH,Vancouver,"Healthy Minds Centre, Building #85, Room P3-302, 3rd floor, 4555 Heather Street, Vancouver, BC",V6H 3N1,keltycentre@cw.bc.ca,604-875-2084 or toll-free from anywhere in BC: 1-800-665-1822,https://keltymentalhealth.ca/parents-caregivers,Active,"Online FAQ, family peer support one-on-one, podcasts",N/A,Adults only,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10418.895167266524!2d-123.13132156269236!3d49.24372574409507!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54867478dc72d30b%3A0xd34de5a67003a802!2sBC%20Children&#39;s%20Kelty%20Mental%20Health%20Resource%20Centre!5e0!3m2!1sen!2sca!4v1736310632179!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/anxiety2.jpg,https://unsplash.com/photos/a-woman-sitting-in-front-of-a-laptop-computer-WGOpvIKwq3Y,,
Kidney Foundation,Kidney disease,"kidney, disease, dialysis, ",Fraser health,Burnaby,200-4940 Canada Way,v5g4k6,info.bcy@kidney.ca,604-736-9775,https://kidney.ca/Research/Supported-Research/ON/Removal-of-mitochondrial-health-to-improve-th-(13),Active,"Peer support, resources, travel loans, kidney suites, kidney kids camp","English, French",Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d651.1593164912834!2d-122.97382493032167!3d49.24536607371313!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54867708cae27229%3A0x299f95279a1f5d55!2sKidney%20Foundation%20Of%20Canada!5e0!3m2!1sen!2sca!4v1736289395646!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/kidney2.jpg,https://unsplash.com/photos/a-drawing-of-the-kidney-ILIYcBsMtSk,,
Kootenay Brain Injury Association,TBI,"trauma, brain, injury, head, cranial, concussive, skull, cerebral, neuro, TBI, concussion, cranio, blunt",Interior,Castlegar,"Kinnaird Park Community Church, 3-1250 26th Street, Castlegar, BC V1N 4C9",V1N 4C9,ed@kootenaybia.ca,778-460-4500,www.kootenaybia.ca,Active,"Provides support and education to family and caregivers of survivors of an acquired brain injury, as well as public awareness and prevention education. ",English,Adults only,Free,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2602.7041108051794!2d-117.66244772318156!3d49.282003670801764!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x53632b685a1a7977%3A0xd8eb8c17ce47b87b!2sKinnaird%20Park%20Community%20Church!5e0!3m2!1sen!2sca!4v1736289738353!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/injury1.jpg,https://unsplash.com/photos/2-boys-lying-on-the-ground-Z5Lsb65XoCE,,
Leagal Aid BC,Advance Care Planning,"Legal, advice, wills, advance care planning, POA, MOST, will, expected at home, edith, rights, abuse, law, lawyer",All,Vancouver,400 – 510 Burrard Street,V6C 3A8,https://legalaid.bc.ca/legal_aid/legalAidLocations#legalAidOffices,604-408-2172,https://legalaid.bc.ca/,Active,"The law is complicated, but not everyone can afford a lawyer. 
 If you qualify, we can help you with your legal issue.
 
 Apply by phone in your community.",,,Free,,Call for screening,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10409.99208356957!2d-123.12788146265997!3d49.28590834419575!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54867182382fb339%3A0x5800b99ceb3eb8ad!2sLegal%20Aid%20BC!5e0!3m2!1sen!2sca!4v1736311569653!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/legal.jpg,https://unsplash.com/photos/gray-pillars-Vq__yk6faOI,,
Looking Glass Foundation,Eating Disorders,"eating, mental, neuro, brain, psychiatry, psychology, behavioural, anorexia, bulimia, food, nutrition, binge, avoidant, restrictive, orthrorexia, rumination, pica, feed, OSFED, UFED, ARFID",VCH,Vancouver,"2006 W 10th Ave, Vancouver, BC",V6J 2B3,info@lookingglassbc.com,604-314-0548,https://www.lookingglassbc.com/,Active,"Psychoeducation through podcasts, webinars; peer support over pre-made videos , pdf with links to caregiver resources specifically for eating disorders",N/A,Youth and adults,Free,Virtual only,pdf link for caregivers: chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.lookingglassbc.com/wp-content/uploads/2023/04/ED-Caregiver-Resources_Mar2023.pdf,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10414.892954228357!2d-123.1612684626778!3d49.26269144414026!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54867399a932363b%3A0xd6d0a231662e342!2sLooking%20Glass%20Foundation%20for%20Eating%20Disorders!5e0!3m2!1sen!2sca!4v1736310404410!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/eating.jpg,https://unsplash.com/photos/woman-in-white-crew-neck-t-shirt-holding-green-plastic-pack-Brw_Mw3r01I,,
Lower Mainland Down Syndrome Society,Down syndrome,"down, syndrome, trisomy, developmental, disability, disable, 21",Fraser health,Surrey,#108-17828-65A Ave,V3S 1Z3,info@lmdss.com,(604) 591-2722,https://lmdss.com/,Active,"Provide information, support, and resources to individuals with Down Syndrome in BC and their families; information about Down Syndrome and resources to families who support individuals with Down Syndrome; advocate that governments and appropriate agencies provide the special resources often needed by individuals with Down Syndrome and their families",N/A,Youth and adults,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10445.02646238789!2d-122.73902306278748!3d49.119761343804974!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5485dbd306b03f8f%3A0xa87758f032ce9d00!2sLower%20Mainland%20Down%20Syndrome%20Society!5e0!3m2!1sen!2sca!4v1736310950211!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/ds1.jpg,https://unsplash.com/photos/a-young-boy-sitting-in-a-black-chair-OwuSwyUOKII,,
Lupus Canada,Lupus,"rhematology, lupus,",National,,"PO Box 8 LCD 1
Newmarket",L3Y 4W3,info@lupuscanada.org,1-800-661-1468,https://www.lupuscanada.org/,Active,"Government support programs, a directory of lupus related websites.",N/A,Youth and adults,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2868.225639525571!2d-79.47296822340591!3d44.03739417749712!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882ad209886503af%3A0xc66d76dab4cd007e!2sNewmarket%2C%20ON%20L3Y%204W3!5e0!3m2!1sen!2sca!4v1736288912907!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/lupus.jpg,https://unsplash.com/photos/colse-up-photo-of-brown-wooden-doll-_Zd6COnH5E8,,
Mary Pack Arthritis Program,Arthritis ,inflammatory,VCH,Vancouver,"895 West 10th Avenue Vancouver, BC",V5Z 1L7,N/A,(604) 875-4040,https://www.vch.ca/en/mary-pack-arthritis-program-mpap,Active,Offers classes on the types of arthritis and management techniques. ,N/A,Adults only,Free,Both virtual/in-person,Inflammatory,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2603.726777504207!2d-123.12640052318248!3d49.26262437217384!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673dd3c94db83%3A0x13bc6a1d1a51773c!2sMary%20Pack%20Arthritis%20Program%20-%20Vancouver%20Arthritis%20Clinic!5e0!3m2!1sen!2sca!4v1736288426596!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/elderly.jpg,https://unsplash.com/photos/greyscale-photo-of-woman-standing-behind-woman-sitting-on-chair-iIFLDQmXPiw,,
Meningitis Foundation Canada,Meningitis,"brain, infection, meningeal, inflammation, meningoencephalitis, cerebral",National,,"P.O. Box 28015 R.P.O. Parkdale, Waterloo, ON, Canada, Ontario",N/A,fund@meningitis.ca,(519) 664-0244,https://www.meningitis.ca/,Active,"They provide caregivers with information on meningitis prevention, treatment, and recovery, as well as emotional support through community connections. ",N/A,Youth and adults,Free,Virtual only,,,images/brain1.jpg,https://unsplash.com/photos/blue-and-green-peacock-feather-58Z17lnVS4U,,
Meningitis Relief,Meningitis,"brain, infection, meningeal, inflammation, meningoencephalitis, cerebral",National,,"266 Thorndale Road Brampton, Ontario,",L6P 3H2,info@meningitisrelief.com,(647) 702-7447,http://www.meningitisrelief.com/,Active,"Offers educational resources on meningitis prevention, symptoms, and recovery. They offer emotional support through counseling services. Additionally, they provide financial aid for families affected by meningitis.",N/A,Youth and adults,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2880.2368506626917!2d-79.6800592!3d43.78869810000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b2330ef4eaaab%3A0xd87e91825e3232f8!2sMRC!5e0!3m2!1sen!2sca!4v1736287670677!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/brain2.jpg,https://unsplash.com/photos/human-brain-toy-IHfOpAzzjHM,,
Minds in Motion,Dementia,"dementia, neurodegenerative, brain, cognitive, memory, neurocognitive, intellectual, mental, exercise, early stage",VCH,Vancouver,"828 W. 8th Avenue Suite 300 Vancouver, British Columbia",V5Z 1E2,info@alzheimerbc.org,604-681-6530,https://alzheimer.ca/bc/en/help-support/programs-services/minds-motion,Active,"A fitness and social program for people living with any form of early-stage dementia to attend with a family member, friend or other care partner. Gentle exercises are followed by social activities designed to be enjoyed in pairs. Care partners must attend. Registration fees (in-person sessions only) include the cost of the person living with dementia and one care partner. In-person and online options are available.",English,Adults only,Out of pocket,In-person only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d547.3511958255475!2d-123.12334307942086!3d49.26397058668457!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673c33f398149%3A0xe0ee90de5616cfb3!2s828%20W%208th%20Ave%20%23300%2C%20Vancouver%2C%20BC%20V5Z%201E3!5e0!3m2!1sen!2sca!4v1736287952450!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/minds.jpg,https://unsplash.com/photos/man-in-white-crew-neck-t-shirt-YPDFvqHFwRA,,
Mood Disorders Association of British Columbia (MDABC),,,All,Vancouver,#1030 – 789 W. Pender Street ,V6C 1H2,info@mdabc.net,604-873-0103,https://mdabc.net/,Active,"MDABC offers support groups and resources for individuals and families affected by mood disorders, including depression and bipolar disorder. They provide family and caregiver support through educational sessions and peer support.",N/A,Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10410.138246359382!2d-123.12554186266047!3d49.28521604419411!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486717e532efdc9%3A0x1f7e04a9ac5a485f!2sMood%20Disorders%20Association%20of%20BC!5e0!3m2!1sen!2sca!4v1736310709592!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/mood.jpg,https://unsplash.com/photos/brown-eggs-in-a-box-LUYD2b7MNrg,,
Mount Pleasant Neighbourhood House,,"Aging, Seniors, Community, Programs, Senior, Caregiver, Respite",VCH,Vancouver,800 East Broadway,V5T 1Y1,shelly.schnee@mpnh.org,604-879-8208  ext 104,NA,Active,"Caregivers Connect offers a point of connection for those who are caregiving for an older adult in our community. Services include one-to-one supports, information and referrals, workshops, wellness activities, our annual Spring Day of Care for Caregivers, and more. 

Caregivers Support Group – Zoom sessions on the last Thursday of the month from 3 p.m. – 4 p.m. Come share stories with others caring for family and friends, receive resource information, and enjoy 3 minutes of meditation at the end. This time is just for you! 

Seniors Coffee Group – Zoom sessions every Friday 11 a.m. – 12 p.m. Welcoming all caregivers or the seniors you care for to join our Friday Coffee Club! Senior volunteer, Athena Roddick, hosts this weekly group chat where we talk about the latest local and international news, recall our travel days, chat about books we’ve been reading, our tech challenges and more.",,,Free/Out of pocket,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d41638.86915065228!2d-123.17372780264752!3d49.28720989541977!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486715a317f0ef7%3A0xda708ce4202ed2d6!2sMount%20Pleasant%20Neighbourhood%20House!5e0!3m2!1sen!2sca!4v1736311211789!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/neighbourhood.jpg,https://unsplash.com/photos/yellow-and-red-concrete-houses-hHdHCfAifHU,,
MS Canada,Multiple Sclerosis,MS,Providence,Vancouver,Vancouver,,msnavigators@mscanada.ca,1-844-859-6789,https://mscanada.ca/find-support/ms-support-groups/vancouver-ms-peer-support-group,Active,Monthly in person meetings  who for people who are affected by MS and looking for a space to share like experiences,N/A,Youth and adults,Free,In-person only,,,images/scar1.jpg,https://unsplash.com/photos/stitched-stomach-_QcaAkYeuC4,,
MS Canada,Multiple Sclerosis,MS,Northern,Prince George,Prince George,,msnavigators@mscanada.ca,1-844-859-6789,https://mscanada.ca/find-support/ms-support-groups/prince-george-ms-peer-support-group,Active,"The PG MS Peer Support Group brings together people diagnosed with MS, family, friends and caregivers affected by MS, to share common concerns and experiences in an informal and safe environment",N/A,Youth and adults,Free,Both virtual/in-person,,,images/scar1.jpg,https://unsplash.com/photos/stitched-stomach-_QcaAkYeuC5,,
MS Canada,Multiple Sclerosis,MS,Fraser health,Maple Ridge & Pitt Meadows,"Maple Ridge, Pitt Meadows, BC",,msnavigators@mscanada.ca,1-844-859-6789,https://mscanada.ca/find-support/ms-support-groups/hope-and-balance-ms-peer-support-group,Active,"The Hope & Balance support group is open to people living in Maple Ridge, Pitt Meadows BC and the surrounding areas who are affected by MS. This group is also open to family members of someone living with MS.",N/A,Youth and adults,Free,Both virtual/in-person,,,images/scar1.jpg,https://unsplash.com/photos/stitched-stomach-_QcaAkYeuC6,,
MS Canada,Multiple Sclerosis,MS,Northern,Quesnel,Quesnel,,msnavigators@mscanada.ca,1-844-859-6789,https://mscanada.ca/find-support/ms-support-groups/quesnel-ms-self-help-group,Active,"Quesnel MS Self Help Group is a friendly and welcoming group open to those living with MS and their caregivers from the Quesnel, BC area.",N/A,Youth and adults,Free,Both virtual/in-person,,,images/scar1.jpg,https://unsplash.com/photos/stitched-stomach-_QcaAkYeuC7,,
MS Canada,Multiple Sclerosis,MS,Northern,Williams Lake,Williams Lake,,msnavigators@mscanada.ca,1-844-859-6789,https://mscanada.ca/find-support/ms-support-groups/williams-lake-ms-support-group-british-columbia,Active,"This group is open to people living with MS and caregivers living in Williams Lake, BC and the surrounding area",N/A,Youth and adults,Free,Both virtual/in-person,,,images/scar2.jpg,https://unsplash.com/photos/a-shirtless-man-wearing-glasses-and-a-necklace-VrCN1J49Vto,,
National Kidney Foundation,Many,"CKD, chronic, kidney, eGFR, stone, nephritis, nephrotic, transplant, donation, living, donor, ",All,National,"30 East 33rd Street, New York, NY",10016,info@kidney.org,(800) 564-6653,https://www.kidney.org/about/contact-us,Active,Peer support and connection to community. ,"English, Spanish",Youth and adults,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d755.6747863668485!2d-73.98361373034372!3d40.746645114237126!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2590789e7f639%3A0x38d6227ea0d7c0f4!2sNational%20Kidney%20Foundation!5e0!3m2!1sen!2sca!4v1736289453585!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/kidney4.jpg,https://unsplash.com/photos/a-drawing-of-the-human-heart-ZdH7TrmqI_Q,,
NephCure Kidney International,"Nephrotic Syndrome, FSGS, Minimal Change Disease","kidney, renal, nephrotic, nephritic, nephro, proteinuria, glumerular, focal segmental glomerulosclerosis, FSGS, lipoid, nil disease, minimal",International,,NA,NA,info@nephcure.org,1-866-NephCure (637-4287),https://nephcure.org/support/resources/,Active,"Offers videos for parents and caregivers regarding disease education, perspective from a caregiver panel, insurance access, caregiver burnout, and more. ",N/A,Youth and adults,Free,Virtual only,,,images/kidney1.jpg,https://unsplash.com/photos/kidney-scale-model-in-hand-sRXCFkJahGk,,
Nidus,Palliative,"Pallative, Death, dying, grief, terminal illness",All,,,NA ,,,,Active,"The Nidus Resource Centre provides, as funding allows:
 
 • public legal education on personal planning and related matters;
 • Representation Agreement forms;
 • training for volunteers and groups;
 • problem solving and coaching in support of best practices for attorneys, representatives, and monitors; and
 • policy consultation for third parties.
 
 The Resource Centre also operates a centralized Registry, called the Nidus Registry for personal planning documents and other important information and documents in case of a health crisis or other emergency.",,,Free,,,,images/friends.jpg,https://unsplash.com/photos/man-and-woman-holding-hands-on-street-UOwvwZ9Dy6w,,
Nidus,Advance Care Planning,"Representation agreements, advance care planning",All,Vancouver,Moving,NA,info@nidus.ca,604.408.7414,https://nidus.ca/,Active,"""The Nidus Resource Centre provides, as funding allows:
 
 • public legal education on personal planning and related matters;
 • Representation Agreement forms;
 • training for volunteers and groups;
 • problem solving and coaching in support of best practices for attorneys, representatives, and monitors; and
 • policy consultation for third parties.
 
 The Resource Centre also operates a centralized Registry, called the Nidus Registry for personal planning documents and other important information and documents in case of a health crisis or other emergency.""",,,Free,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10460.6861241201!2d-122.3080194628445!3d49.045362043634924!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486717931dba2f7%3A0x3eba91d1a009c040!2sNidus%20Personal%20Planning%20Resource%20Centre!5e0!3m2!1sen!2sca!4v1736311508972!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/law1.jpg,https://unsplash.com/photos/book-lot-on-black-wooden-shelf-zeH-ljawHtg,,
Northern Brain Injury Association (NBIA),TBI,"trauma, brain, injury, head, cranial, concussive, skull, cerebral, neuro, TBI, concussion, cranio, blunt",Northern,Prince George,"1070 4th Avenue, Prince George, BC V2L 3J1",V2L 3JI,angie.dokken@nbia.ca,250-562-4673,www.nbia.ca,Active,Regional support groups for caregivers of people impacted by TBIs.,English,Adults only,Free,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2349.937279903838!2d-122.74484682296573!3d53.9150904320165!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x538898e44792c855%3A0x7bc7e7c3f3d3a7b3!2sNorthern%20Brain%20Injury%20Association!5e0!3m2!1sen!2sca!4v1736289726752!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/injury.jpg,https://unsplash.com/photos/man-in-black-knit-cap-and-black-hoodie-hs6XhCjBMz0,,
Northern Health,Palliative,"Pallative, Death, dying, grief, terminal illness",Northern,,,NA ,,,"Palliative care / End of Life care
 
 End-of-life care / Palliative care",Active,. The Northern Health Palliative Care Program offers support to the health care team to help patients enjoy the best possible quality of life until death.,,,Free,,,,images/healthcare1.jpg,https://unsplash.com/photos/people-in-white-shirt-holding-clear-drinking-glasses-701-FJcjLAQ,,
Northern Health,"Dementia, Aging","Aging, Seniors, Community, Programs, Senior, Caregiver, Respite, Dementia, Alzhimers, Aging, Medical, Health, Health Authority, Intake, Home support, Home health",Northern,,,NA ,,811 ask for central intake for your area,https://www.northernhealth.ca/services/home-community-care/accessing-services,Active,,,,Free/Out of pocket,,"If you or a family member wants to receive Home and Community Care services, such as home care nursing, you must meet the following eligibility requirements:
 
  Be a resident of British Columbia
  Be a Canadian citizen or have permanent resident status*
  Require care following discharge from a hospital, care at home rather than hospitalization, or care because of a terminal illness
 
 For subsidized services, such as home support or day programs, and to receive the services of a case manager, you or your family member must:
 
  Be 19 years of age or older
  Have lived in British Columbia for at least 3 months
  Be a Canadian citizen or have permanent resident status*
  Be unable to function independently because of chronic health-related problems or have been diagnosed with an end-stage illness
 
 * Landed immigrant or on a Minister’s permit approved by the Ministry of Health Services.",,images/health6.jpg,https://unsplash.com/photos/poached-egg-with-vegetables-and-tomatoes-on-blue-plate-jUPOXXRNdcA,,
Operation Rainbow,Cleft Lip & Palate Deformities,"Cleft lip and palate, plastic surgery",VCH,Vancouver,Suite 400 – 601 West Broadway,V5Z 4C2,mail@operationrainbowcanada.ca,1 888.956.3399,https://www.operationrainbowcanada.ca/,Active,Provide free reconstructive surgery and related health care for cleft lip and cleft palate deformities to impoverished children and young adults in developing countries whose families could not otherwise afford them.,N/A,Youth only,Free,In-person only,They fundraise for OOC projects,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2603.667924712965!2d-123.12057932318244!3d49.26373977209496!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673dd2265330f%3A0x33a32dd7954aa4a6!2sOperation%20Rainbow%20Canada!5e0!3m2!1sen!2sca!4v1736288683672!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/baby.jpg,https://unsplash.com/photos/infants-feet-being-held-by-a-womans-hand-with-painted-and-manicured-hands-resting-on-a-gray-blanket-S8BW-Wx9G8I,,
Pacific Post Partum Support Society,Post partum,"pregnancy, post-partum",All,Burnaby,"7342 Winston Street, Suite 200",V5A 2H1,admin@postpartum.org,604-255-7955,https://postpartum.org/,Active,"Text and phone support, and support sessions, for partners/caregivers of those in post-partum period",English,Adults only,Free,Both virtual/in-person,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d651.107812795884!2d-122.95096993032166!3d49.24927147364394!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x410b7e7fe582bc43%3A0xf3fc463b1564d6dd!2sPacific%20Post%20Partum%20Support%20Society!5e0!3m2!1sen!2sca!4v1736289539736!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",,images/mombaby.jpg,https://unsplash.com/photos/woman-in-white-crew-neck-t-shirt-carrying-baby-DMcNqigMn1c,,
Pacific Post Partum Support Society,Postpartum depression,"postnatal, perinatal, postpartum, maternal, post-birth, birth, childbirth, depression, baby, baby blues, PPD, mood, emotion, depressive",Fraser health,Burnaby,"7342 Winston Street, Suite 200, Burnaby BC",V5A 2H1,admin@postpartum.org,"Lower Mainland: 604-255-7999, Toll-Free: 1-855-255-7999, Texting Support: 604-255-7999",https://postpartum.org/,Active,"Telephone/text support, support groups, partner and couple information and support services, online active listening education, psychoeducation, podcasts/blogs",N/A,Adults only,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10417.725285281127!2d-122.96060446268812!3d49.24927014410827!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x410b7e7fe582bc43%3A0xf3fc463b1564d6dd!2sPacific%20Post%20Partum%20Support%20Society!5e0!3m2!1sen!2sca!4v1736310566790!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/postpartum.jpg,https://unsplash.com/photos/mother-carrying-baby-Z4GKcFAGck4,,
